sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.1586;0.817;9.8354;0.0;;;;NaN;;;;0 / 0;44006;2018-04-04 20:28:06:572
0.0718;0.5878;9.7342;0.0;;;;NaN;;;;0 / 0;44506;2018-04-04 20:28:07:072
-0.0323;0.3011;9.5397;0.0;;;;NaN;;;;0 / 0;45007;2018-04-04 20:28:07:573
-0.0587;0.2322;9.663;0.0;;;;NaN;;;;0 / 0;45507;2018-04-04 20:28:08:073
-0.0114;0.413;9.7031;0.0;;;;NaN;;;;0 / 0;46009;2018-04-04 20:28:08:575
0.1389;0.7314;9.7252;0.0;;;;NaN;;;;0 / 0;46507;2018-04-04 20:28:09:073
0.1377;0.7829;9.7342;0.0;;;;NaN;;;;0 / 0;47006;2018-04-04 20:28:09:572
0.1395;0.8033;9.7528;0.0;;;;NaN;;;;0 / 0;47507;2018-04-04 20:28:10:073
0.0018;0.3262;9.5738;0.0;;;;NaN;;;;0 / 0;48007;2018-04-04 20:28:10:573
-0.0916;0.1371;9.569;0.0;;;;NaN;;;;0 / 0;48506;2018-04-04 20:28:11:072
-0.0359;0.2149;9.6025;0.0;;;;NaN;;;;0 / 0;49006;2018-04-04 20:28:11:572
0.0694;0.568;9.6917;0.0;;;;NaN;;;;0 / 0;49506;2018-04-04 20:28:12:072
0.167;0.8679;9.7636;0.0;;;;NaN;;;;0 / 0;50006;2018-04-04 20:28:12:572
0.1808;0.9224;9.6851;0.0;;;;NaN;;;;0 / 0;50506;2018-04-04 20:28:13:072
0.1071;0.6991;9.6301;0.0;;;;NaN;;;;0 / 0;51007;2018-04-04 20:28:13:573
-0.0425;0.2729;9.7145;0.0;;;;NaN;;;;0 / 0;51507;2018-04-04 20:28:14:073
-0.1024;0.1335;9.5415;0.0;;;;NaN;;;;0 / 0;52007;2018-04-04 20:28:14:573
-0.006;0.3382;9.575;0.0;;;;NaN;;;;0 / 0;52506;2018-04-04 20:28:15:072
0.1562;0.595;9.8312;0.0;;;;NaN;;;;0 / 0;53008;2018-04-04 20:28:15:574
0.2011;0.8505;9.7785;0.0;;;;NaN;;;;0 / 0;53506;2018-04-04 20:28:16:072
0.0928;0.7578;9.5475;0.0;;;;NaN;;;;0 / 0;54006;2018-04-04 20:28:16:572
0.0036;0.4142;9.7588;0.0;;;;NaN;;;;0 / 0;54506;2018-04-04 20:28:17:072
-0.0323;0.1879;9.8138;0.0;;;;NaN;;;;0 / 0;55007;2018-04-04 20:28:17:573
-0.0485;0.1682;9.8067;0.0;;;;NaN;;;;0 / 0;55506;2018-04-04 20:28:18:072
0.0132;0.422;9.642;0.0;;;;NaN;;;;0 / 0;56006;2018-04-04 20:28:18:572
0.1143;0.7308;9.7977;0.0;;;;NaN;;;;0 / 0;56506;2018-04-04 20:28:19:072
0.1754;0.8553;9.6684;0.0;;;;NaN;;;;0 / 0;57006;2018-04-04 20:28:19:572
0.1407;0.75;9.6534;0.0;;;;NaN;;;;0 / 0;57506;2018-04-04 20:28:20:072
-0.0084;0.3729;9.8013;0.0;;;;NaN;;;;0 / 0;58006;2018-04-04 20:28:20:572
-0.0664;0.1538;9.6648;0.0;;;;NaN;;;;0 / 0;58506;2018-04-04 20:28:21:072
-0.0377;0.243;9.5277;0.0;;;;NaN;;;;0 / 0;59006;2018-04-04 20:28:21:572
0.1053;0.5788;9.5511;0.0;;;;NaN;;;;0 / 0;59506;2018-04-04 20:28:22:072
0.146;0.8308;9.7636;0.0;;;;NaN;;;;0 / 0;60007;2018-04-04 20:28:22:573
0.1658;0.8296;9.7659;0.0;;;;NaN;;;;0 / 0;60507;2018-04-04 20:28:23:073
0.0634;0.5405;9.648;0.0;;;;NaN;;;;0 / 0;61006;2018-04-04 20:28:23:572
