sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.586;-0.5543;9.341;0.0;;;;NaN;;;;0 / 0;2228006;2018-04-04 21:04:30:572
0.7021;0.7757;9.7659;0.0;;;;NaN;;;;0 / 0;2228507;2018-04-04 21:04:31:073
-0.0886;0.8607;9.6115;0.0;;;;NaN;;;;0 / 0;2229006;2018-04-04 21:04:31:572
0.0575;0.1395;9.2799;0.0;;;;NaN;;;;0 / 0;2229507;2018-04-04 21:04:32:073
1.0612;0.3023;9.5457;0.0;;;;NaN;;;;0 / 0;2230006;2018-04-04 21:04:32:572
0.088;0.8152;9.7031;0.0;;;;NaN;;;;0 / 0;2230508;2018-04-04 21:04:33:074
0.1089;0.3352;9.9024;0.0;;;;NaN;;;;0 / 0;2231006;2018-04-04 21:04:33:572
0.2454;0.1694;9.0812;0.0;;;;NaN;;;;0 / 0;2231507;2018-04-04 21:04:34:073
0.6883;0.5782;9.9359;0.0;;;;NaN;;;;0 / 0;2232006;2018-04-04 21:04:34:572
0.3376;0.9475;9.3853;0.0;;;;NaN;;;;0 / 0;2232506;2018-04-04 21:04:35:072
0.1532;-0.4453;9.5271;0.0;;;;NaN;;;;0 / 0;2233006;2018-04-04 21:04:35:572
0.012;0.9427;9.5798;0.0;;;;NaN;;;;0 / 0;2233506;2018-04-04 21:04:36:072
0.8954;0.6728;9.511;0.0;;;;NaN;;;;0 / 0;2234006;2018-04-04 21:04:36:572
0.4052;-0.4208;9.4002;0.0;;;;NaN;;;;0 / 0;2234506;2018-04-04 21:04:37:072
-0.4495;1.5431;10.0132;0.0;;;;NaN;;;;0 / 0;2235007;2018-04-04 21:04:37:573
0.8164;0.6925;9.2015;0.0;;;;NaN;;;;0 / 0;2235506;2018-04-04 21:04:38:072
0.9403;-0.7733;9.2787;0.0;;;;NaN;;;;0 / 0;2236007;2018-04-04 21:04:38:573
-0.7129;1.6909;9.6869;0.0;;;;NaN;;;;0 / 0;2236506;2018-04-04 21:04:39:072
0.9056;0.3472;9.6073;0.0;;;;NaN;;;;0 / 0;2237007;2018-04-04 21:04:39:573
1.0499;-1.0104;9.4373;0.0;;;;NaN;;;;0 / 0;2237506;2018-04-04 21:04:40:072
-0.1275;1.3102;9.848;0.0;;;;NaN;;;;0 / 0;2238006;2018-04-04 21:04:40:572
-0.4525;1.3653;9.4218;0.0;;;;NaN;;;;0 / 0;2238506;2018-04-04 21:04:41:072
0.9804;-0.3921;9.3709;0.0;;;;NaN;;;;0 / 0;2239006;2018-04-04 21:04:41:572
1.1881;0.4447;9.4601;0.0;;;;NaN;;;;0 / 0;2239507;2018-04-04 21:04:42:073
-1.1624;1.0906;9.7037;0.0;;;;NaN;;;;0 / 0;2240007;2018-04-04 21:04:42:573
0.9798;-0.0186;9.3733;0.0;;;;NaN;;;;0 / 0;2240506;2018-04-04 21:04:43:072
1.0576;0.4387;9.4008;0.0;;;;NaN;;;;0 / 0;2241006;2018-04-04 21:04:43:572
-0.9858;1.0852;9.6085;0.0;;;;NaN;;;;0 / 0;2241506;2018-04-04 21:04:44:072
0.7063;-6.0E-4;9.399;0.0;;;;NaN;;;;0 / 0;2242007;2018-04-04 21:04:44:573
0.9116;0.589;9.6289;0.0;;;;NaN;;;;0 / 0;2242506;2018-04-04 21:04:45:072
-0.4238;0.7967;9.4643;0.0;;;;NaN;;;;0 / 0;2243006;2018-04-04 21:04:45:572
0.419;-0.3705;9.4559;0.0;;;;NaN;;;;0 / 0;2243506;2018-04-04 21:04:46:072
0.7314;0.8368;9.83;0.0;;;;NaN;;;;0 / 0;2244006;2018-04-04 21:04:46:572
-0.1856;0.8374;9.5074;0.0;;;;NaN;;;;0 / 0;2244507;2018-04-04 21:04:47:073
0.5106;-0.516;9.4487;0.0;;;;NaN;;;;0 / 0;2245006;2018-04-04 21:04:47:572
0.975;1.0127;9.4763;0.0;;;;NaN;;;;0 / 0;2245507;2018-04-04 21:04:48:073
-0.4136;0.7464;9.7348;0.0;;;;NaN;;;;0 / 0;2246006;2018-04-04 21:04:48:572
0.756;-0.4543;9.5205;0.0;;;;NaN;;;;0 / 0;2246506;2018-04-04 21:04:49:072
0.9074;-0.3023;9.2775;0.0;;;;NaN;;;;0 / 0;2247006;2018-04-04 21:04:49:572
-0.3879;1.0223;9.4625;0.0;;;;NaN;;;;0 / 0;2247506;2018-04-04 21:04:50:072
0.8374;-0.2484;9.6774;0.0;;;;NaN;;;;0 / 0;2248007;2018-04-04 21:04:50:573
1.0139;-0.009;9.4338;0.0;;;;NaN;;;;0 / 0;2248506;2018-04-04 21:04:51:072
-0.5273;1.5778;9.6732;0.0;;;;NaN;;;;0 / 0;2249007;2018-04-04 21:04:51:573
-0.0048;0.6015;9.6157;0.0;;;;NaN;;;;0 / 0;2249506;2018-04-04 21:04:52:072
1.0325;-0.6578;9.2243;0.0;;;;NaN;;;;0 / 0;2250007;2018-04-04 21:04:52:573
0.1814;1.6807;9.5062;0.0;;;;NaN;;;;0 / 0;2250507;2018-04-04 21:04:53:073
-0.325;0.5758;9.5774;0.0;;;;NaN;;;;0 / 0;2251006;2018-04-04 21:04:53:572
1.1444;-0.6458;9.7031;0.0;;;;NaN;;;;0 / 0;2251507;2018-04-04 21:04:54:073
0.3089;0.723;9.4457;0.0;;;;NaN;;;;0 / 0;2252006;2018-04-04 21:04:54:572
-0.4028;1.3569;9.7187;0.0;;;;NaN;;;;0 / 0;2252506;2018-04-04 21:04:55:072
1.1732;-0.3071;8.8765;0.0;;;;NaN;;;;0 / 0;2253007;2018-04-04 21:04:55:573
0.6584;-0.3316;9.5792;0.0;;;;NaN;;;;0 / 0;2253506;2018-04-04 21:04:56:072
-0.4747;1.6179;9.7324;0.0;;;;NaN;;;;0 / 0;2254007;2018-04-04 21:04:56:573
0.9595;0.0461;9.66;0.0;;;;NaN;;;;0 / 0;2254506;2018-04-04 21:04:57:072
0.6488;-0.5088;9.2135;0.0;;;;NaN;;;;0 / 0;2255007;2018-04-04 21:04:57:573
-0.1778;1.2067;10.0904;0.0;;;;NaN;;;;0 / 0;2255506;2018-04-04 21:04:58:072
0.2292;0.9708;9.596;0.0;;;;NaN;;;;0 / 0;2256006;2018-04-04 21:04:58:572
0.9924;-0.9188;9.5223;0.0;;;;NaN;;;;0 / 0;2256508;2018-04-04 21:04:59:074
-0.395;1.0169;9.4858;0.0;;;;NaN;;;;0 / 0;2257007;2018-04-04 21:04:59:573
0.5986;1.3785;9.6935;0.0;;;;NaN;;;;0 / 0;2257507;2018-04-04 21:05:00:073
0.5243;-0.3711;9.5529;0.0;;;;NaN;;;;0 / 0;2258006;2018-04-04 21:05:00:572
-0.0557;0.0622;9.4457;0.0;;;;NaN;;;;0 / 0;2258506;2018-04-04 21:05:01:072
0.495;1.3815;9.9701;0.0;;;;NaN;;;;0 / 0;2259006;2018-04-04 21:05:01:572
0.9116;0.5333;9.7432;0.0;;;;NaN;;;;0 / 0;2259507;2018-04-04 21:05:02:073
-0.0425;-0.647;9.0788;0.0;;;;NaN;;;;0 / 0;2260006;2018-04-04 21:05:02:572
-0.1149;0.8619;9.6121;0.0;;;;NaN;;;;0 / 0;2260507;2018-04-04 21:05:03:073
0.8553;0.7117;9.6415;0.0;;;;NaN;;;;0 / 0;2261007;2018-04-04 21:05:03:573
0.1514;-0.3364;9.3937;0.0;;;;NaN;;;;0 / 0;2261506;2018-04-04 21:05:04:072
0.3615;1.0834;9.5415;0.0;;;;NaN;;;;0 / 0;2262007;2018-04-04 21:05:04:573
0.6015;0.8835;9.2332;0.0;;;;NaN;;;;0 / 0;2262506;2018-04-04 21:05:05:072
-0.0575;-0.1981;9.9042;0.0;;;;NaN;;;;0 / 0;2263006;2018-04-04 21:05:05:572
0.3741;0.7099;9.3326;0.0;;;;NaN;;;;0 / 0;2263506;2018-04-04 21:05:06:072
1.1073;0.987;9.5008;0.0;;;;NaN;;;;0 / 0;2264006;2018-04-04 21:05:06:572
-0.4926;0.2065;9.8318;0.0;;;;NaN;;;;0 / 0;2264507;2018-04-04 21:05:07:073
0.2753;0.1161;9.3577;0.0;;;;NaN;;;;0 / 0;2265006;2018-04-04 21:05:07:572
1.4635;0.9343;9.4409;0.0;;;;NaN;;;;0 / 0;2265506;2018-04-04 21:05:08:072
-0.844;0.4286;9.6582;0.0;;;;NaN;;;;0 / 0;2266006;2018-04-04 21:05:08:572
-0.0108;0.009;9.5283;0.0;;;;NaN;;;;0 / 0;2266506;2018-04-04 21:05:09:072
1.491;0.4938;9.4942;0.0;;;;NaN;;;;0 / 0;2267006;2018-04-04 21:05:09:572
-0.398;1.0445;9.3488;0.0;;;;NaN;;;;0 / 0;2267507;2018-04-04 21:05:10:073
-0.0245;-0.252;9.8869;0.0;;;;NaN;;;;0 / 0;2268006;2018-04-04 21:05:10:572
1.5335;0.4334;9.5529;0.0;;;;NaN;;;;0 / 0;2268507;2018-04-04 21:05:11:073
0.2879;0.9595;9.3069;0.0;;;;NaN;;;;0 / 0;2269006;2018-04-04 21:05:11:572
-0.835;0.1335;9.5199;0.0;;;;NaN;;;;0 / 0;2269507;2018-04-04 21:05:12:073
1.6412;0.3322;9.5774;0.0;;;;NaN;;;;0 / 0;2270006;2018-04-04 21:05:12:572
1.1594;0.7488;9.1093;0.0;;;;NaN;;;;0 / 0;2270507;2018-04-04 21:05:13:073
-1.3809;0.6806;9.5199;0.0;;;;NaN;;;;0 / 0;2271006;2018-04-04 21:05:13:572
1.3815;0.0676;9.7103;0.0;;;;NaN;;;;0 / 0;2271506;2018-04-04 21:05:14:072
0.8823;0.5435;9.2895;0.0;;;;NaN;;;;0 / 0;2272007;2018-04-04 21:05:14:573
0.1754;0.6261;9.4936;0.0;;;;NaN;;;;0 / 0;2272506;2018-04-04 21:05:15:072
0.7566;0.431;9.5571;0.0;;;;NaN;;;;0 / 0;2273007;2018-04-04 21:05:15:573
0.8404;0.7494;9.3883;0.0;;;;NaN;;;;0 / 0;2273506;2018-04-04 21:05:16:072
-0.5632;-0.0796;9.6355;0.0;;;;NaN;;;;0 / 0;2274007;2018-04-04 21:05:16:573
0.6153;0.3831;9.6624;0.0;;;;NaN;;;;0 / 0;2274506;2018-04-04 21:05:17:072
0.9008;1.0271;9.4367;0.0;;;;NaN;;;;0 / 0;2275006;2018-04-04 21:05:17:572
-0.7428;0.1137;9.6798;0.0;;;;NaN;;;;0 / 0;2275506;2018-04-04 21:05:18:072
0.8996;0.1137;9.4924;0.0;;;;NaN;;;;0 / 0;2276006;2018-04-04 21:05:18:572
1.2055;1.1552;9.6534;0.0;;;;NaN;;;;0 / 0;2276506;2018-04-04 21:05:19:072
-0.4806;0.2143;9.0986;0.0;;;;NaN;;;;0 / 0;2277006;2018-04-04 21:05:19:572
0.3932;-0.0102;9.8904;0.0;;;;NaN;;;;0 / 0;2277507;2018-04-04 21:05:20:073
1.1199;1.2845;9.8264;0.0;;;;NaN;;;;0 / 0;2278006;2018-04-04 21:05:20:572
-0.1694;0.2604;9.25;0.0;;;;NaN;;;;0 / 0;2278507;2018-04-04 21:05:21:073
-0.0874;0.0012;9.6217;0.0;;;;NaN;;;;0 / 0;2279006;2018-04-04 21:05:21:572
1.1839;0.9858;9.6462;0.0;;;;NaN;;;;0 / 0;2279506;2018-04-04 21:05:22:072
0.0467;0.4316;9.8689;0.0;;;;NaN;;;;0 / 0;2280006;2018-04-04 21:05:22:572
-0.4657;-0.0814;9.3039;0.0;;;;NaN;;;;0 / 0;2280506;2018-04-04 21:05:23:072
0.8236;0.9062;9.4637;0.0;;;;NaN;;;;0 / 0;2281007;2018-04-04 21:05:23:573
0.7135;0.1478;9.6618;0.0;;;;NaN;;;;0 / 0;2281506;2018-04-04 21:05:24:072
-0.3172;0.729;9.6313;0.0;;;;NaN;;;;0 / 0;2282007;2018-04-04 21:05:24:573
-0.0904;1.2181;9.7402;0.0;;;;NaN;;;;0 / 0;2282506;2018-04-04 21:05:25:072
0.8972;-0.4393;9.3715;0.0;;;;NaN;;;;0 / 0;2283007;2018-04-04 21:05:25:573
0.0359;0.4645;9.6618;0.0;;;;NaN;;;;0 / 0;2283506;2018-04-04 21:05:26:072
0.3011;1.4449;9.5433;0.0;;;;NaN;;;;0 / 0;2284006;2018-04-04 21:05:26:572
0.486;-0.3813;9.6187;0.0;;;;NaN;;;;0 / 0;2284506;2018-04-04 21:05:27:072
0.091;0.4316;9.2578;0.0;;;;NaN;;;;0 / 0;2285006;2018-04-04 21:05:27:572
0.431;1.3084;9.8078;0.0;;;;NaN;;;;0 / 0;2285507;2018-04-04 21:05:28:073
0.7027;-0.0449;9.4062;0.0;;;;NaN;;;;0 / 0;2286006;2018-04-04 21:05:28:572
-0.4645;0.58;9.8797;0.0;;;;NaN;;;;0 / 0;2286507;2018-04-04 21:05:29:073
0.7548;0.7602;9.6187;0.0;;;;NaN;;;;0 / 0;2287006;2018-04-04 21:05:29:572
0.7811;-0.3998;9.3877;0.0;;;;NaN;;;;0 / 0;2287507;2018-04-04 21:05:30:073
0.1634;0.8416;9.3093;0.0;;;;NaN;;;;0 / 0;2288007;2018-04-04 21:05:30:573
-0.2107;1.0912;9.7115;0.0;;;;NaN;;;;0 / 0;2288506;2018-04-04 21:05:31:072
1.0505;-1.0606;9.6187;0.0;;;;NaN;;;;0 / 0;2289007;2018-04-04 21:05:31:573
0.2693;1.2181;9.496;0.0;;;;NaN;;;;0 / 0;2289506;2018-04-04 21:05:32:072
-0.0575;0.9798;9.2703;0.0;;;;NaN;;;;0 / 0;2290006;2018-04-04 21:05:32:572
1.0546;-1.2659;9.3404;0.0;;;;NaN;;;;0 / 0;2290506;2018-04-04 21:05:33:072
-0.3424;2.0345;9.9647;0.0;;;;NaN;;;;0 / 0;2291006;2018-04-04 21:05:33:572
-0.0425;0.8685;9.3775;0.0;;;;NaN;;;;0 / 0;2291507;2018-04-04 21:05:34:073
1.1402;-1.2983;9.1698;0.0;;;;NaN;;;;0 / 0;2292006;2018-04-04 21:05:34:572
0.2795;1.3461;9.827;0.0;;;;NaN;;;;0 / 0;2292507;2018-04-04 21:05:35:073
-0.3687;1.1654;9.5996;0.0;;;;NaN;;;;0 / 0;2293006;2018-04-04 21:05:35:572
0.7626;-0.7859;9.0453;0.0;;;;NaN;;;;0 / 0;2293506;2018-04-04 21:05:36:072
0.5441;1.0546;9.4703;0.0;;;;NaN;;;;0 / 0;2294006;2018-04-04 21:05:36:572
-0.1095;1.5838;9.3356;0.0;;;;NaN;;;;0 / 0;2294506;2018-04-04 21:05:37:072
0.3909;-0.3585;9.751;0.0;;;;NaN;;;;0 / 0;2295007;2018-04-04 21:05:37:573
0.4824;0.6656;9.8354;0.0;;;;NaN;;;;0 / 0;2295506;2018-04-04 21:05:38:072
0.3053;0.5968;9.2799;0.0;;;;NaN;;;;0 / 0;2296007;2018-04-04 21:05:38:573
0.4118;0.1604;9.657;0.0;;;;NaN;;;;0 / 0;2296506;2018-04-04 21:05:39:072
0.1598;1.2318;9.6899;0.0;;;;NaN;;;;0 / 0;2297007;2018-04-04 21:05:39:573
0.3944;-0.1951;9.8928;0.0;;;;NaN;;;;0 / 0;2297506;2018-04-04 21:05:40:072
0.7931;0.2628;9.0609;0.0;;;;NaN;;;;0 / 0;2298007;2018-04-04 21:05:40:573
-0.2693;1.0726;9.4242;0.0;;;;NaN;;;;0 / 0;2298506;2018-04-04 21:05:41:072
0.2586;0.6931;9.6726;0.0;;;;NaN;;;;0 / 0;2299006;2018-04-04 21:05:41:572
0.9912;-0.1652;9.9515;0.0;;;;NaN;;;;0 / 0;2299506;2018-04-04 21:05:42:072
0.003;0.6476;9.2757;0.0;;;;NaN;;;;0 / 0;2300006;2018-04-04 21:05:42:572
-0.3029;0.9212;9.1889;0.0;;;;NaN;;;;0 / 0;2300507;2018-04-04 21:05:43:073
1.0163;0.1454;9.5337;0.0;;;;NaN;;;;0 / 0;2301006;2018-04-04 21:05:43:572
0.0988;0.5136;9.8324;0.0;;;;NaN;;;;0 / 0;2301506;2018-04-04 21:05:44:072
0.1784;0.7494;9.739;0.0;;;;NaN;;;;0 / 0;2302006;2018-04-04 21:05:44:572
1.0092;-0.1927;9.0489;0.0;;;;NaN;;;;0 / 0;2302506;2018-04-04 21:05:45:072
0.1544;0.7033;9.6851;0.0;;;;NaN;;;;0 / 0;2303006;2018-04-04 21:05:45:572
-0.2173;0.826;9.6678;0.0;;;;NaN;;;;0 / 0;2303506;2018-04-04 21:05:46:072
1.3132;-0.149;9.6804;0.0;;;;NaN;;;;0 / 0;2304007;2018-04-04 21:05:46:573
0.4645;0.2376;9.9958;0.0;;;;NaN;;;;0 / 0;2304506;2018-04-04 21:05:47:072
-0.3208;0.7889;8.9232;0.0;;;;NaN;;;;0 / 0;2305007;2018-04-04 21:05:47:573
0.5225;0.1718;9.8982;0.0;;;;NaN;;;;0 / 0;2305506;2018-04-04 21:05:48:072
0.8194;0.6387;9.8342;0.0;;;;NaN;;;;0 / 0;2306007;2018-04-04 21:05:48:573
-0.4028;0.1604;9.4661;0.0;;;;NaN;;;;0 / 0;2306506;2018-04-04 21:05:49:072
0.41;0.4597;9.4092;0.0;;;;NaN;;;;0 / 0;2307006;2018-04-04 21:05:49:572
0.999;0.7937;9.3529;0.0;;;;NaN;;;;0 / 0;2307506;2018-04-04 21:05:50:072
-0.6201;-0.1484;9.9407;0.0;;;;NaN;;;;0 / 0;2308006;2018-04-04 21:05:50:572
-0.5674;-0.006;9.7235;0.0;;;;NaN;;;;0 / 0;2308507;2018-04-04 21:05:51:073
0.9014;0.3789;8.9789;0.0;;;;NaN;;;;0 / 0;2309006;2018-04-04 21:05:51:572
-0.1245;-0.3095;9.7055;0.0;;;;NaN;;;;0 / 0;2309507;2018-04-04 21:05:52:073
0.1508;1.0798;9.8725;0.0;;;;NaN;;;;0 / 0;2310006;2018-04-04 21:05:52:572
0.814;0.1616;9.8102;0.0;;;;NaN;;;;0 / 0;2310506;2018-04-04 21:05:53:072
0.1987;-0.1562;9.3931;0.0;;;;NaN;;;;0 / 0;2311007;2018-04-04 21:05:53:573
-0.1281;1.3402;9.5463;0.0;;;;NaN;;;;0 / 0;2311506;2018-04-04 21:05:54:072
0.6889;0.1766;9.8503;0.0;;;;NaN;;;;0 / 0;2312007;2018-04-04 21:05:54:573
0.6566;-0.0838;9.4661;0.0;;;;NaN;;;;0 / 0;2312508;2018-04-04 21:05:55:074
-0.2053;1.2599;9.511;0.0;;;;NaN;;;;0 / 0;2313006;2018-04-04 21:05:55:572
0.3753;0.4663;9.3715;0.0;;;;NaN;;;;0 / 0;2313507;2018-04-04 21:05:56:073
0.6716;-0.2071;9.6325;0.0;;;;NaN;;;;0 / 0;2314006;2018-04-04 21:05:56:572
0.1646;0.9906;9.6732;0.0;;;;NaN;;;;0 / 0;2314507;2018-04-04 21:05:57:073
0.4028;0.7039;9.6349;0.0;;;;NaN;;;;0 / 0;2315006;2018-04-04 21:05:57:572
0.0042;-0.2664;9.6863;0.0;;;;NaN;;;;0 / 0;2315506;2018-04-04 21:05:58:072
0.9397;0.2676;9.15;0.0;;;;NaN;;;;0 / 0;2316006;2018-04-04 21:05:58:572
0.1275;1.2234;9.6516;0.0;;;;NaN;;;;0 / 0;2316506;2018-04-04 21:05:59:072
-0.1826;0.4369;9.6223;0.0;;;;NaN;;;;0 / 0;2317007;2018-04-04 21:05:59:573
1.3036;-0.4651;9.5966;0.0;;;;NaN;;;;0 / 0;2317506;2018-04-04 21:06:00:072
0.167;0.8655;9.6642;0.0;;;;NaN;;;;0 / 0;2318007;2018-04-04 21:06:00:573
-0.0599;0.6704;9.3224;0.0;;;;NaN;;;;0 / 0;2318506;2018-04-04 21:06:01:072
0.3196;0.2382;9.6875;0.0;;;;NaN;;;;0 / 0;2319007;2018-04-04 21:06:01:573
1.0415;0.2257;9.4505;0.0;;;;NaN;;;;0 / 0;2319506;2018-04-04 21:06:02:072
-0.2185;0.6596;9.9748;0.0;;;;NaN;;;;0 / 0;2320006;2018-04-04 21:06:02:572
0.0658;0.9373;9.3745;0.0;;;;NaN;;;;0 / 0;2320506;2018-04-04 21:06:03:072
1.4389;-0.6734;8.8873;0.0;;;;NaN;;;;0 / 0;2321006;2018-04-04 21:06:03:572
-0.4429;0.8475;10.1831;0.0;;;;NaN;;;;0 / 0;2321507;2018-04-04 21:06:04:073
0.2598;1.2719;9.6379;0.0;;;;NaN;;;;0 / 0;2322006;2018-04-04 21:06:04:572
0.8859;-0.5692;9.2985;0.0;;;;NaN;;;;0 / 0;2322507;2018-04-04 21:06:05:073
0.0832;0.3549;9.2362;0.0;;;;NaN;;;;0 / 0;2323006;2018-04-04 21:06:05:572
-0.0527;1.4096;9.6582;0.0;;;;NaN;;;;0 / 0;2323507;2018-04-04 21:06:06:073
0.4741;0.4842;10.0975;0.0;;;;NaN;;;;0 / 0;2324006;2018-04-04 21:06:06:572
0.662;-0.6536;8.9848;0.0;;;;NaN;;;;0 / 0;2324506;2018-04-04 21:06:07:072
0.3184;1.1756;9.7157;0.0;;;;NaN;;;;0 / 0;2325006;2018-04-04 21:06:07:572
0.2005;1.4838;9.812;0.0;;;;NaN;;;;0 / 0;2325506;2018-04-04 21:06:08:072
0.9631;-0.6285;9.7414;0.0;;;;NaN;;;;0 / 0;2326006;2018-04-04 21:06:08:572
0.7051;0.9038;9.6037;0.0;;;;NaN;;;;0 / 0;2326506;2018-04-04 21:06:09:072
-0.1981;0.4052;9.1991;0.0;;;;NaN;;;;0 / 0;2327007;2018-04-04 21:06:09:573
0.6494;0.064;9.8432;0.0;;;;NaN;;;;0 / 0;2327506;2018-04-04 21:06:10:072
0.3472;1.5455;9.411;0.0;;;;NaN;;;;0 / 0;2328007;2018-04-04 21:06:10:573
-0.0204;-0.1748;9.8324;0.0;;;;NaN;;;;0 / 0;2328506;2018-04-04 21:06:11:072
0.574;-0.082;9.4212;0.0;;;;NaN;;;;0 / 0;2329007;2018-04-04 21:06:11:573
0.2496;1.6316;9.1279;0.0;;;;NaN;;;;0 / 0;2329506;2018-04-04 21:06:12:072
0.2406;-0.0413;10.1173;0.0;;;;NaN;;;;0 / 0;2330007;2018-04-04 21:06:12:573
0.7661;-0.5387;9.6367;0.0;;;;NaN;;;;0 / 0;2330506;2018-04-04 21:06:13:072
-0.231;1.3797;9.481;0.0;;;;NaN;;;;0 / 0;2331006;2018-04-04 21:06:13:572
0.8464;0.2717;9.0339;0.0;;;;NaN;;;;0 / 0;2331509;2018-04-04 21:06:14:075
0.5854;-0.1395;10.17;0.0;;;;NaN;;;;0 / 0;2332006;2018-04-04 21:06:14:572
-0.6662;1.6472;9.4715;0.0;;;;NaN;;;;0 / 0;2332506;2018-04-04 21:06:15:072
0.7745;-0.1718;9.6462;0.0;;;;NaN;;;;0 / 0;2333006;2018-04-04 21:06:15:572
0.9182;-0.2837;9.4822;0.0;;;;NaN;;;;0 / 0;2333506;2018-04-04 21:06:16:072
-0.4986;1.6538;9.4176;0.0;;;;NaN;;;;0 / 0;2334006;2018-04-04 21:06:16:572
-0.0569;0.5034;9.915;0.0;;;;NaN;;;;0 / 0;2334506;2018-04-04 21:06:17:072
1.1971;-0.1987;9.6977;0.0;;;;NaN;;;;0 / 0;2335007;2018-04-04 21:06:17:573
0.0114;0.9894;9.3547;0.0;;;;NaN;;;;0 / 0;2335506;2018-04-04 21:06:18:072
-0.2598;0.2508;9.1345;0.0;;;;NaN;;;;0 / 0;2336007;2018-04-04 21:06:18:573
0.6931;0.4974;9.83;0.0;;;;NaN;;;;0 / 0;2336506;2018-04-04 21:06:19:072
0.75;0.6381;9.6833;0.0;;;;NaN;;;;0 / 0;2337007;2018-04-04 21:06:19:573
-0.079;-0.0371;9.2464;0.0;;;;NaN;;;;0 / 0;2337506;2018-04-04 21:06:20:072
0.0569;0.6722;9.5403;0.0;;;;NaN;;;;0 / 0;2338007;2018-04-04 21:06:20:573
0.899;1.0918;9.7845;0.0;;;;NaN;;;;0 / 0;2338506;2018-04-04 21:06:21:072
0.5567;0.0186;9.9383;0.0;;;;NaN;;;;0 / 0;2339006;2018-04-04 21:06:21:572
-0.2574;0.3496;9.3194;0.0;;;;NaN;;;;0 / 0;2339506;2018-04-04 21:06:22:072
0.58;0.58;9.1057;0.0;;;;NaN;;;;0 / 0;2340006;2018-04-04 21:06:22:572
0.8254;1.0211;9.8958;0.0;;;;NaN;;;;0 / 0;2340506;2018-04-04 21:06:23:072
-0.0832;-0.1089;9.7282;0.0;;;;NaN;;;;0 / 0;2341006;2018-04-04 21:06:23:572
0.0664;0.5944;9.5612;0.0;;;;NaN;;;;0 / 0;2341507;2018-04-04 21:06:24:073
0.7697;0.4818;9.0794;0.0;;;;NaN;;;;0 / 0;2342006;2018-04-04 21:06:24:572
0.1365;0.6764;9.903;0.0;;;;NaN;;;;0 / 0;2342507;2018-04-04 21:06:25:073
-0.1185;0.7177;9.7342;0.0;;;;NaN;;;;0 / 0;2343006;2018-04-04 21:06:25:572
1.005;0.1305;9.2165;0.0;;;;NaN;;;;0 / 0;2343506;2018-04-04 21:06:26:072
-0.0766;0.7883;9.5307;0.0;;;;NaN;;;;0 / 0;2344007;2018-04-04 21:06:26:573
-0.1544;0.6865;9.7276;0.0;;;;NaN;;;;0 / 0;2344506;2018-04-04 21:06:27:072
0.9685;-0.1125;9.7049;0.0;;;;NaN;;;;0 / 0;2345007;2018-04-04 21:06:27:573
0.3472;0.2747;9.4505;0.0;;;;NaN;;;;0 / 0;2345506;2018-04-04 21:06:28:072
-0.0263;1.1606;9.6391;0.0;;;;NaN;;;;0 / 0;2346006;2018-04-04 21:06:28:572
0.5638;-0.1838;9.3009;0.0;;;;NaN;;;;0 / 0;2346506;2018-04-04 21:06:29:072
0.4154;0.1065;9.8037;0.0;;;;NaN;;;;0 / 0;2347006;2018-04-04 21:06:29:572
0.24;1.6478;9.7276;0.0;;;;NaN;;;;0 / 0;2347507;2018-04-04 21:06:30:073
0.1389;-0.0575;9.505;0.0;;;;NaN;;;;0 / 0;2348006;2018-04-04 21:06:30:572
0.8847;-0.1209;9.0429;0.0;;;;NaN;;;;0 / 0;2348506;2018-04-04 21:06:31:072
-0.255;1.6155;9.7145;0.0;;;;NaN;;;;0 / 0;2349006;2018-04-04 21:06:31:572
-0.1431;0.3921;9.9832;0.0;;;;NaN;;;;0 / 0;2349507;2018-04-04 21:06:32:073
1.3072;-0.3322;9.1883;0.0;;;;NaN;;;;0 / 0;2350006;2018-04-04 21:06:32:572
-0.3579;1.2941;9.3051;0.0;;;;NaN;;;;0 / 0;2350507;2018-04-04 21:06:33:073
-0.0263;0.0676;9.7348;0.0;;;;NaN;;;;0 / 0;2351006;2018-04-04 21:06:33:572
1.3731;0.2759;9.7797;0.0;;;;NaN;;;;0 / 0;2351508;2018-04-04 21:06:34:074
-0.0646;0.8817;9.821;0.0;;;;NaN;;;;0 / 0;2352006;2018-04-04 21:06:34:572
0.1634;-0.1077;9.1512;0.0;;;;NaN;;;;0 / 0;2352506;2018-04-04 21:06:35:072
0.8613;0.7434;9.7522;0.0;;;;NaN;;;;0 / 0;2353007;2018-04-04 21:06:35:573
0.1018;1.3503;9.5176;0.0;;;;NaN;;;;0 / 0;2353506;2018-04-04 21:06:36:072
0.1095;-0.5854;9.7013;0.0;;;;NaN;;;;0 / 0;2354007;2018-04-04 21:06:36:573
0.726;1.0163;9.6786;0.0;;;;NaN;;;;0 / 0;2354506;2018-04-04 21:06:37:072
