sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4489;2.2422;9.6223;8;46.993;NaN;0 / 0;44016;2018-04-04 20:28:13:662;;;;;;
0.4357;2.0423;9.5852;8;46.465;NaN;0 / 0;44515;2018-04-04 20:28:14:161;;;;;;
0.4477;1.9154;9.4894;8;45.324;NaN;0 / 0;45016;2018-04-04 20:28:14:662;;;;;;
0.5854;2.0842;9.5241;8;44.6;NaN;0 / 0;45516;2018-04-04 20:28:15:162;;;;;;
0.7697;2.3966;9.3637;8;44.13;NaN;0 / 0;46016;2018-04-04 20:28:15:662;;;;;;
0.808;2.4708;9.3051;8;44.895;NaN;0 / 0;46516;2018-04-04 20:28:16:162;;;;;;
0.8547;2.3667;9.6115;8;36.975;NaN;0 / 0;47016;2018-04-04 20:28:16:662;;;;;;
0.9625;2.1009;9.6726;8;38.054;NaN;0 / 0;47516;2018-04-04 20:28:17:162;;;;;;
0.9864;2.0159;9.4272;8;38.414;NaN;0 / 0;48016;2018-04-04 20:28:17:662;;;;;;
0.9649;2.0255;9.3781;8;39.346;NaN;0 / 0;48516;2018-04-04 20:28:18:162;;;;;;
0.9876;2.2027;9.5122;8;54.283;NaN;0 / 0;49016;2018-04-04 20:28:18:662;;;;;;
1.0259;2.3224;9.3637;8;46.122;NaN;0 / 0;49516;2018-04-04 20:28:19:162;;;;;;
1.0858;2.387;9.3996;8;41.885;NaN;0 / 0;50016;2018-04-04 20:28:19:662;;;;;;
1.0175;2.4612;9.4942;8;42.479;NaN;0 / 0;50516;2018-04-04 20:28:20:162;;;;;;
1.002;2.3188;9.6127;8;44.161;NaN;0 / 0;51016;2018-04-04 20:28:20:662;;;;;;
1.0116;1.8663;9.5732;8;42.175;NaN;0 / 0;51516;2018-04-04 20:28:21:162;;;;;;
1.0463;1.8759;9.3482;8;43.188;NaN;0 / 0;52015;2018-04-04 20:28:21:661;;;;;;
1.057;2.1632;9.3996;8;43.49;NaN;0 / 0;52516;2018-04-04 20:28:22:162;;;;;;
1.1001;2.2194;9.4834;8;44.556;NaN;0 / 0;53016;2018-04-04 20:28:22:662;;;;;;
1.1085;2.3331;9.4463;8;47.942;NaN;0 / 0;53516;2018-04-04 20:28:23:162;;;;;;
1.1325;2.4157;9.5984;8;46.595;NaN;0 / 0;54016;2018-04-04 20:28:23:662;;;;;;
1.1384;2.2158;9.6295;8;42.047;NaN;0 / 0;54516;2018-04-04 20:28:24:162;;;;;;
1.0546;1.9836;9.4523;8;44.067;NaN;0 / 0;55016;2018-04-04 20:28:24:662;;;;;;
0.9313;1.9393;9.4583;8;45.956;NaN;0 / 0;55516;2018-04-04 20:28:25:162;;;;;;
0.8475;2.0183;9.4092;8;41.816;NaN;0 / 0;56015;2018-04-04 20:28:25:661;;;;;;
0.8667;2.2649;9.3817;8;42.68;NaN;0 / 0;56516;2018-04-04 20:28:26:162;;;;;;
