sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.6137;0.82;9.9958;0;44.982;NaN;0 / 0;1825516;2018-04-04 20:57:55:162;;;;;;
-1.7142;0.826;10.3274;0;46.79;NaN;0 / 0;1826016;2018-04-04 20:57:55:662;;;;;;
-1.4545;0.5351;9.5122;0;46.466;NaN;0 / 0;1826516;2018-04-04 20:57:56:162;;;;;;
-1.4281;0.2789;9.3482;0;45.511;NaN;0 / 0;1827016;2018-04-04 20:57:56:662;;;;;;
-1.5921;0.3687;9.9563;0;46.72;NaN;0 / 0;1827515;2018-04-04 20:57:57:161;;;;;;
-1.6364;0.5255;10.234;0;46.836;NaN;0 / 0;1828016;2018-04-04 20:57:57:662;;;;;;
-1.4305;0.7159;9.4332;0;46.787;NaN;0 / 0;1828516;2018-04-04 20:57:58:162;;;;;;
-1.403;0.7733;9.3781;0;46.538;NaN;0 / 0;1829016;2018-04-04 20:57:58:662;;;;;;
-1.6185;0.6225;10.0928;0;46.576;NaN;0 / 0;1829516;2018-04-04 20:57:59:162;;;;;;
-1.7083;0.3711;10.2915;0;46.057;NaN;0 / 0;1830015;2018-04-04 20:57:59:661;;;;;;
-1.4724;0.328;9.5014;0;47.171;NaN;0 / 0;1830516;2018-04-04 20:58:00:162;;;;;;
-1.385;0.4501;9.2979;0;47.207;NaN;0 / 0;1831016;2018-04-04 20:58:00:662;;;;;;
-1.5562;0.7362;9.9132;0;46.832;NaN;0 / 0;1831516;2018-04-04 20:58:01:162;;;;;;
-1.658;0.8739;10.2208;0;46.878;NaN;0 / 0;1832016;2018-04-04 20:58:01:662;;;;;;
-1.4712;0.6524;9.6055;0;47.32;NaN;0 / 0;1832516;2018-04-04 20:58:02:162;;;;;;
-1.4533;0.3747;9.4954;0;47.095;NaN;0 / 0;1833016;2018-04-04 20:58:02:662;;;;;;
-1.5598;0.3484;9.8689;0;48.825;NaN;0 / 0;1833516;2018-04-04 20:58:03:162;;;;;;
-1.6269;0.4441;10.1107;0;48.57;NaN;0 / 0;1834016;2018-04-04 20:58:03:662;;;;;;
-1.5311;0.5878;9.7659;0;48.038;NaN;0 / 0;1834516;2018-04-04 20:58:04:162;;;;;;
-1.3719;0.5794;9.3434;0;47.422;NaN;0 / 0;1835016;2018-04-04 20:58:04:662;;;;;;
-1.4593;0.7254;9.6474;0;47.732;NaN;0 / 0;1835516;2018-04-04 20:58:05:162;;;;;;
-1.7047;0.7805;10.319;0;49.116;NaN;0 / 0;1836016;2018-04-04 20:58:05:662;;;;;;
-1.6209;0.3771;9.8521;0;49.535;NaN;0 / 0;1836515;2018-04-04 20:58:06:161;;;;;;
-1.3563;0.2741;9.2225;0;49.919;NaN;0 / 0;1837016;2018-04-04 20:58:06:662;;;;;;
-1.3815;0.4286;9.4403;0;50.352;NaN;0 / 0;1837516;2018-04-04 20:58:07:162;;;;;;
-1.6723;0.7841;10.2448;0;50.512;NaN;0 / 0;1838016;2018-04-04 20:58:07:662;;;;;;
-1.6604;0.7913;10.1562;0;50.442;NaN;0 / 0;1838516;2018-04-04 20:58:08:162;;;;;;
-1.4078;0.6213;9.3865;0;51.102;NaN;0 / 0;1839015;2018-04-04 20:58:08:661;;;;;;
-1.391;0.498;9.3697;0;50.371;NaN;0 / 0;1839516;2018-04-04 20:58:09:162;;;;;;
-1.6412;0.3998;10.0975;0;49.615;NaN;0 / 0;1840016;2018-04-04 20:58:09:662;;;;;;
-1.5874;0.3699;9.8569;0;51.143;NaN;0 / 0;1840516;2018-04-04 20:58:10:162;;;;;;
-1.3886;0.5662;9.3984;0;50.608;NaN;0 / 0;1841016;2018-04-04 20:58:10:662;;;;;;
-1.4724;0.7961;9.7504;0;51.438;NaN;0 / 0;1841516;2018-04-04 20:58:11:162;;;;;;
-1.6436;0.838;10.0952;0;52.075;NaN;0 / 0;1842016;2018-04-04 20:58:11:662;;;;;;
-1.549;0.5136;9.7013;0;52.66;NaN;0 / 0;1842516;2018-04-04 20:58:12:162;;;;;;
-1.4808;0.3136;9.7061;0;50.898;NaN;0 / 0;1843016;2018-04-04 20:58:12:662;;;;;;
-1.5287;0.346;9.8162;0;53.413;NaN;0 / 0;1843516;2018-04-04 20:58:13:162;;;;;;
-1.5347;0.6404;9.8174;0;51.561;NaN;0 / 0;1844015;2018-04-04 20:58:13:661;;;;;;
-1.5155;0.7769;9.815;0;51.573;NaN;0 / 0;1844516;2018-04-04 20:58:14:162;;;;;;
-1.585;0.5794;9.8749;0;51.968;NaN;0 / 0;1845016;2018-04-04 20:58:14:662;;;;;;
-1.5538;0.5148;9.8294;0;52.304;NaN;0 / 0;1845516;2018-04-04 20:58:15:162;;;;;;
-1.4581;0.5124;9.6426;0;54.259;NaN;0 / 0;1846016;2018-04-04 20:58:15:662;;;;;;
-1.5514;0.4645;9.8162;0;53.33;NaN;0 / 0;1846516;2018-04-04 20:58:16:162;;;;;;
-1.573;0.5231;9.8797;0;54.097;NaN;0 / 0;1847016;2018-04-04 20:58:16:662;;;;;;
-1.5311;0.7063;9.8629;0;52.658;NaN;0 / 0;1847516;2018-04-04 20:58:17:162;;;;;;
-1.4641;0.7961;9.6618;0;52.147;NaN;0 / 0;1848016;2018-04-04 20:58:17:662;;;;;;
-1.5299;0.4645;9.6953;0;52.351;NaN;0 / 0;1848516;2018-04-04 20:58:18:162;;;;;;
-1.6352;0.2957;10.1107;0;52.713;NaN;0 / 0;1849016;2018-04-04 20:58:18:662;;;;;;
-1.5419;0.4429;9.8354;0;52.453;NaN;0 / 0;1849516;2018-04-04 20:58:19:162;;;;;;
-1.4305;0.6907;9.4942;0;54.353;NaN;0 / 0;1850016;2018-04-04 20:58:19:662;;;;;;
-1.5634;0.6943;9.9036;0;52.659;NaN;0 / 0;1850515;2018-04-04 20:58:20:161;;;;;;
-1.5897;0.5997;9.8928;0;54.173;NaN;0 / 0;1851016;2018-04-04 20:58:20:662;;;;;;
-1.4832;0.583;9.5541;0;52.912;NaN;0 / 0;1851516;2018-04-04 20:58:21:162;;;;;;
-1.5167;0.486;9.8174;0;52.492;NaN;0 / 0;1852016;2018-04-04 20:58:21:662;;;;;;
-1.6149;0.4465;10.0233;0;52.942;NaN;0 / 0;1852516;2018-04-04 20:58:22:162;;;;;;
-1.5036;0.5686;9.6498;0;54.159;NaN;0 / 0;1853015;2018-04-04 20:58:22:661;;;;;;
-1.4377;0.5902;9.4487;0;54.048;NaN;0 / 0;1853516;2018-04-04 20:58:23:162;;;;;;
-1.5155;0.6141;9.7145;0;54.42;NaN;0 / 0;1854016;2018-04-04 20:58:23:662;;;;;;
-1.6448;0.7075;10.0928;0;53.836;NaN;0 / 0;1854516;2018-04-04 20:58:24:162;;;;;;
-1.5526;0.5578;9.809;0;53.045;NaN;0 / 0;1855016;2018-04-04 20:58:24:662;;;;;;
-1.4425;0.4334;9.517;0;53.173;NaN;0 / 0;1855515;2018-04-04 20:58:25:161;;;;;;
-1.4593;0.5171;9.5457;0;53.175;NaN;0 / 0;1856016;2018-04-04 20:58:25:662;;;;;;
-1.6388;0.6788;10.1622;0;54.716;NaN;0 / 0;1856516;2018-04-04 20:58:26:162;;;;;;
-1.5814;0.6464;9.8988;0;55.12;NaN;0 / 0;1857016;2018-04-04 20:58:26:662;;;;;;
-1.4664;0.48;9.5636;0;54.499;NaN;0 / 0;1857516;2018-04-04 20:58:27:162;;;;;;
-1.5275;0.5171;9.9323;0;55.447;NaN;0 / 0;1858015;2018-04-04 20:58:27:661;;;;;;
-1.5479;0.6069;9.8701;0;55.398;NaN;0 / 0;1858516;2018-04-04 20:58:28:162;;;;;;
-1.5048;0.5423;9.5385;0;54.401;NaN;0 / 0;1859016;2018-04-04 20:58:28:662;;;;;;
-1.5443;0.4836;9.7037;0;55.402;NaN;0 / 0;1859516;2018-04-04 20:58:29:162;;;;;;
-1.6065;0.5926;10.1011;0;53.979;NaN;0 / 0;1860016;2018-04-04 20:58:29:662;;;;;;
-1.4784;0.6476;9.6606;0;54.806;NaN;0 / 0;1860516;2018-04-04 20:58:30:162;;;;;;
-1.4736;0.3627;9.5062;0;53.997;NaN;0 / 0;1861016;2018-04-04 20:58:30:662;;;;;;
-1.6149;0.2921;9.9527;0;53.818;NaN;0 / 0;1861516;2018-04-04 20:58:31:162;;;;;;
-1.6053;0.4501;9.991;0;55.53;NaN;0 / 0;1862016;2018-04-04 20:58:31:662;;;;;;
-1.4485;0.6129;9.4942;0;53.986;NaN;0 / 0;1862516;2018-04-04 20:58:32:162;;;;;;
-1.561;0.6021;9.8869;0;53.755;NaN;0 / 0;1863016;2018-04-04 20:58:32:662;;;;;;
-1.5502;0.5327;9.8988;0;52.799;NaN;0 / 0;1863516;2018-04-04 20:58:33:162;;;;;;
-1.4557;0.322;9.5612;0;52.414;NaN;0 / 0;1864016;2018-04-04 20:58:33:662;;;;;;
-1.6017;0.2873;9.8653;0;53.238;NaN;0 / 0;1864516;2018-04-04 20:58:34:162;;;;;;
-1.6125;0.5028;10.0832;0;55.162;NaN;0 / 0;1865015;2018-04-04 20:58:34:661;;;;;;
-1.4916;0.6416;9.7671;0;53.831;NaN;0 / 0;1865516;2018-04-04 20:58:35:162;;;;;;
-1.4413;0.6321;9.4535;0;53.38;NaN;0 / 0;1866016;2018-04-04 20:58:35:662;;;;;;
-1.4856;0.6213;9.76;0;54.164;NaN;0 / 0;1866516;2018-04-04 20:58:36:162;;;;;;
-1.5718;0.6668;9.8737;0;54.007;NaN;0 / 0;1867016;2018-04-04 20:58:36:662;;;;;;
-1.6065;0.5112;10.0257;0;54.502;NaN;0 / 0;1867516;2018-04-04 20:58:37:162;;;;;;
-1.5048;0.4429;9.8581;0;54.828;NaN;0 / 0;1868016;2018-04-04 20:58:37:662;;;;;;
-1.3946;0.6009;9.4523;0;55.5;NaN;0 / 0;1868516;2018-04-04 20:58:38:162;;;;;;
-1.5742;0.7183;9.8809;0;55.695;NaN;0 / 0;1869015;2018-04-04 20:58:38:661;;;;;;
-1.5862;0.6871;9.9754;0;55.169;NaN;0 / 0;1869516;2018-04-04 20:58:39:162;;;;;;
-1.4281;0.4609;9.6283;0;54.549;NaN;0 / 0;1870016;2018-04-04 20:58:39:662;;;;;;
-1.6101;0.2011;10.0604;0;55.125;NaN;0 / 0;1870516;2018-04-04 20:58:40:162;;;;;;
-1.5945;0.3232;9.9252;0;54.609;NaN;0 / 0;1871016;2018-04-04 20:58:40:662;;;;;;
-1.4425;0.516;9.5122;0;57.447;NaN;0 / 0;1871515;2018-04-04 20:58:41:161;;;;;;
-1.4485;0.5471;9.5289;0;57.478;NaN;0 / 0;1872016;2018-04-04 20:58:41:662;;;;;;
-1.5706;0.595;9.9455;0;55.231;NaN;0 / 0;1872516;2018-04-04 20:58:42:162;;;;;;
-1.6328;0.5758;10.0868;0;57.571;NaN;0 / 0;1873016;2018-04-04 20:58:42:662;;;;;;
-1.5562;0.486;9.8545;0;56.54;NaN;0 / 0;1873516;2018-04-04 20:58:43:162;;;;;;
-1.4353;0.2801;9.4691;0;56.485;NaN;0 / 0;1874016;2018-04-04 20:58:43:662;;;;;;
-1.5347;0.2119;9.6774;0;56.403;NaN;0 / 0;1874516;2018-04-04 20:58:44:162;;;;;;
-1.646;0.5327;10.1143;0;56.885;NaN;0 / 0;1875016;2018-04-04 20:58:44:662;;;;;;
-1.5407;0.8176;9.833;0;56.269;NaN;0 / 0;1875516;2018-04-04 20:58:45:162;;;;;;
-1.4138;0.6907;9.4751;0;55.441;NaN;0 / 0;1876016;2018-04-04 20:58:45:662;;;;;;
-1.634;0.4082;10.0497;0;55.329;NaN;0 / 0;1876516;2018-04-04 20:58:46:162;;;;;;
-1.5862;0.2358;9.9323;0;55.057;NaN;0 / 0;1877016;2018-04-04 20:58:46:662;;;;;;
-1.4892;0.2705;9.5517;0;53.631;NaN;0 / 0;1877516;2018-04-04 20:58:47:162;;;;;;
-1.5323;0.4274;9.7241;0;54.879;NaN;0 / 0;1878016;2018-04-04 20:58:47:662;;;;;;
-1.555;0.7614;9.8893;0;55.629;NaN;0 / 0;1878516;2018-04-04 20:58:48:162;;;;;;
-1.5335;0.9062;9.7695;0;55.503;NaN;0 / 0;1879016;2018-04-04 20:58:48:662;;;;;;
-1.4868;0.7721;9.6486;0;58.347;NaN;0 / 0;1879516;2018-04-04 20:58:49:162;;;;;;
-1.5443;0.3711;9.7648;0;55.604;NaN;0 / 0;1880016;2018-04-04 20:58:49:662;;;;;;
-1.6233;0.1556;10.0245;0;55.365;NaN;0 / 0;1880515;2018-04-04 20:58:50:161;;;;;;
-1.5191;0.2729;9.76;0;55.72;NaN;0 / 0;1881016;2018-04-04 20:58:50:662;;;;;;
-1.4449;0.577;9.517;0;55.415;NaN;0 / 0;1881516;2018-04-04 20:58:51:162;;;;;;
-1.5203;0.82;9.8378;0;55.183;NaN;0 / 0;1882016;2018-04-04 20:58:51:662;;;;;;
-1.6137;0.559;9.8964;0;55.276;NaN;0 / 0;1882516;2018-04-04 20:58:52:162;;;;;;
-1.5646;0.4226;9.8318;0;59.576;NaN;0 / 0;1883016;2018-04-04 20:58:52:662;;;;;;
-1.5311;0.4633;9.7743;0;55.402;NaN;0 / 0;1883516;2018-04-04 20:58:53:162;;;;;;
-1.5048;0.3543;9.5852;0;55.981;NaN;0 / 0;1884015;2018-04-04 20:58:53:661;;;;;;
-1.5694;0.3412;9.7935;0;55.734;NaN;0 / 0;1884516;2018-04-04 20:58:54:162;;;;;;
-1.6137;0.7207;10.0868;0;55.57;NaN;0 / 0;1885016;2018-04-04 20:58:54:662;;;;;;
-1.5646;0.7973;9.9156;0;55.728;NaN;0 / 0;1885516;2018-04-04 20:58:55:162;;;;;;
-1.3719;0.753;9.4463;0;59.276;NaN;0 / 0;1886016;2018-04-04 20:58:55:662;;;;;;
-1.5622;0.4106;9.7456;0;56.528;NaN;0 / 0;1886516;2018-04-04 20:58:56:162;;;;;;
-1.5993;0.2191;10.0568;0;55.438;NaN;0 / 0;1887016;2018-04-04 20:58:56:662;;;;;;
-1.5634;0.2658;9.9288;0;55.254;NaN;0 / 0;1887516;2018-04-04 20:58:57:162;;;;;;
-1.5012;0.5806;9.6139;0;55.529;NaN;0 / 0;1888016;2018-04-04 20:58:57:662;;;;;;
-1.5107;0.7745;9.8126;0;55.7;NaN;0 / 0;1888516;2018-04-04 20:58:58:162;;;;;;
-1.561;0.6608;9.8414;0;56.099;NaN;0 / 0;1889016;2018-04-04 20:58:58:662;;;;;;
-1.5957;0.5255;9.7971;0;55.156;NaN;0 / 0;1889516;2018-04-04 20:58:59:162;;;;;;
-1.4485;0.4669;9.5636;0;56.448;NaN;0 / 0;1890016;2018-04-04 20:58:59:662;;;;;;
-1.573;0.2442;9.8845;0;56.423;NaN;0 / 0;1890516;2018-04-04 20:59:00:162;;;;;;
-1.5838;0.4058;9.7851;0;57.459;NaN;0 / 0;1891015;2018-04-04 20:59:00:661;;;;;;
-1.5694;0.5495;9.6965;0;55.994;NaN;0 / 0;1891516;2018-04-04 20:59:01:162;;;;;;
-1.5455;0.6404;9.6881;0;56.392;NaN;0 / 0;1892016;2018-04-04 20:59:01:662;;;;;;
-1.6316;0.5279;9.9874;0;57.177;NaN;0 / 0;1892516;2018-04-04 20:59:02:162;;;;;;
-1.6053;0.4178;9.8821;0;57.549;NaN;0 / 0;1893016;2018-04-04 20:59:02:662;;;;;;
-1.488;0.3639;9.5577;0;59.059;NaN;0 / 0;1893516;2018-04-04 20:59:03:162;;;;;;
-1.4796;0.2921;9.5146;0;59.053;NaN;0 / 0;1894016;2018-04-04 20:59:03:662;;;;;;
-1.6795;0.4334;10.0401;0;57.721;NaN;0 / 0;1894516;2018-04-04 20:59:04:162;;;;;;
-1.6496;0.6093;10.0724;0;57.518;NaN;0 / 0;1895016;2018-04-04 20:59:04:662;;;;;;
-1.5395;0.6165;9.7324;0;58.048;NaN;0 / 0;1895516;2018-04-04 20:59:05:162;;;;;;
-1.4629;0.4417;9.4595;0;58.458;NaN;0 / 0;1896015;2018-04-04 20:59:05:661;;;;;;
-1.5275;0.3232;9.7863;0;58.386;NaN;0 / 0;1896516;2018-04-04 20:59:06:162;;;;;;
-1.7346;0.4525;10.2053;0;57.67;NaN;0 / 0;1897016;2018-04-04 20:59:06:662;;;;;;
-1.5957;0.5195;9.8342;0;60.474;NaN;0 / 0;1897516;2018-04-04 20:59:07:162;;;;;;
-1.3838;0.5686;9.3745;0;61.478;NaN;0 / 0;1898016;2018-04-04 20:59:07:662;;;;;;
-1.5347;0.565;9.7983;0;57.688;NaN;0 / 0;1898516;2018-04-04 20:59:08:162;;;;;;
-1.6436;0.5782;10.1203;0;59.042;NaN;0 / 0;1899016;2018-04-04 20:59:08:662;;;;;;
-1.6388;0.5279;9.9994;0;58.887;NaN;0 / 0;1899516;2018-04-04 20:59:09:162;;;;;;
-1.4509;0.4393;9.6187;0;57.59;NaN;0 / 0;1900016;2018-04-04 20:59:09:662;;;;;;
-1.4401;0.4417;9.4954;0;57.61;NaN;0 / 0;1900516;2018-04-04 20:59:10:162;;;;;;
-1.6077;0.5387;9.9479;0;58.305;NaN;0 / 0;1901016;2018-04-04 20:59:10:662;;;;;;
-1.6484;0.6009;10.1945;0;58.841;NaN;0 / 0;1901516;2018-04-04 20:59:11:162;;;;;;
-1.567;0.5902;9.8569;0;60.602;NaN;0 / 0;1902016;2018-04-04 20:59:11:662;;;;;;
-1.4054;0.3938;9.3769;0;59.494;NaN;0 / 0;1902516;2018-04-04 20:59:12:162;;;;;;
-1.5203;0.4142;9.7157;0;57.765;NaN;0 / 0;1903015;2018-04-04 20:59:12:661;;;;;;
-1.664;0.4932;10.1371;0;58.496;NaN;0 / 0;1903516;2018-04-04 20:59:13:162;;;;;;
-1.5766;0.4693;9.8713;0;58.388;NaN;0 / 0;1904016;2018-04-04 20:59:13:662;;;;;;
-1.4377;0.5291;9.5205;0;57.693;NaN;0 / 0;1904516;2018-04-04 20:59:14:162;;;;;;
-1.5024;0.589;9.6283;0;59.03;NaN;0 / 0;1905016;2018-04-04 20:59:14:662;;;;;;
-1.6173;0.6045;9.9288;0;58.27;NaN;0 / 0;1905516;2018-04-04 20:59:15:162;;;;;;
-1.6125;0.4573;9.985;0;59.67;NaN;0 / 0;1906016;2018-04-04 20:59:15:662;;;;;;
-1.4545;0.3508;9.6283;0;58.07;NaN;0 / 0;1906516;2018-04-04 20:59:16:162;;;;;;
-1.4904;0.5327;9.6666;0;57.534;NaN;0 / 0;1907015;2018-04-04 20:59:16:661;;;;;;
-1.6209;0.6153;10.0054;0;57.654;NaN;0 / 0;1907516;2018-04-04 20:59:17:162;;;;;;
-1.6077;0.5028;9.9719;0;57.918;NaN;0 / 0;1908016;2018-04-04 20:59:17:662;;;;;;
-1.4281;0.4345;9.4966;0;57.432;NaN;0 / 0;1908516;2018-04-04 20:59:18:162;;;;;;
-1.5024;0.4202;9.6678;0;58.777;NaN;0 / 0;1909016;2018-04-04 20:59:18:662;;;;;;
-1.5874;0.5243;9.9276;0;59.277;NaN;0 / 0;1909516;2018-04-04 20:59:19:162;;;;;;
-1.5371;0.68;9.9371;0;58.596;NaN;0 / 0;1910016;2018-04-04 20:59:19:662;;;;;;
-1.5167;0.6536;9.754;0;56.66;NaN;0 / 0;1910516;2018-04-04 20:59:20:162;;;;;;
-1.5287;0.7434;9.8055;0;57.583;NaN;0 / 0;1911016;2018-04-04 20:59:20:662;;;;;;
-1.482;0.6369;9.7384;0;57.453;NaN;0 / 0;1911516;2018-04-04 20:59:21:162;;;;;;
-1.5036;0.4609;9.8641;0;56.786;NaN;0 / 0;1912016;2018-04-04 20:59:21:662;;;;;;
-1.5203;0.3807;9.7755;0;58.081;NaN;0 / 0;1912516;2018-04-04 20:59:22:162;;;;;;
-1.4988;0.4393;9.6223;0;56.991;NaN;0 / 0;1913016;2018-04-04 20:59:22:662;;;;;;
-1.506;0.5746;9.7348;0;55.83;NaN;0 / 0;1913516;2018-04-04 20:59:23:162;;;;;;
-1.5838;0.6788;10.0449;0;55.931;NaN;0 / 0;1914016;2018-04-04 20:59:23:662;;;;;;
-1.5419;0.5171;9.7887;0;55.927;NaN;0 / 0;1914516;2018-04-04 20:59:24:162;;;;;;
-1.4353;0.504;9.5553;0;56.515;NaN;0 / 0;1915016;2018-04-04 20:59:24:662;;;;;;
-1.5107;0.51;9.7935;0;57.369;NaN;0 / 0;1915515;2018-04-04 20:59:25:161;;;;;;
-1.5993;0.5231;9.9551;0;57.402;NaN;0 / 0;1916016;2018-04-04 20:59:25:662;;;;;;
-1.5179;0.4094;9.6953;0;58.066;NaN;0 / 0;1916516;2018-04-04 20:59:26:162;;;;;;
-1.5634;0.4968;9.8833;0;55.312;NaN;0 / 0;1917016;2018-04-04 20:59:26:662;;;;;;
-1.5598;0.4657;9.7791;0;55.5;NaN;0 / 0;1917516;2018-04-04 20:59:27:162;;;;;;
-1.4641;0.5531;9.56;0;55.432;NaN;0 / 0;1918015;2018-04-04 20:59:27:661;;;;;;
-1.5443;0.6189;9.9216;0;55.674;NaN;0 / 0;1918516;2018-04-04 20:59:28:162;;;;;;
-1.5969;0.4717;9.9084;0;55.588;NaN;0 / 0;1919016;2018-04-04 20:59:28:662;;;;;;
-1.5443;0.3879;9.6103;0;57.337;NaN;0 / 0;1919516;2018-04-04 20:59:29:162;;;;;;
-1.4533;0.3807;9.5876;0;55.617;NaN;0 / 0;1920016;2018-04-04 20:59:29:662;;;;;;
-1.555;0.4633;9.973;0;53.507;NaN;0 / 0;1920516;2018-04-04 20:59:30:162;;;;;;
-1.658;0.6225;10.0784;0;54.504;NaN;0 / 0;1921016;2018-04-04 20:59:30:662;;;;;;
-1.5287;0.6069;9.6905;0;53.077;NaN;0 / 0;1921516;2018-04-04 20:59:31:162;;;;;;
-1.4102;0.4657;9.4212;0;52.813;NaN;0 / 0;1922016;2018-04-04 20:59:31:662;;;;;;
-1.5874;0.419;9.9707;0;53.936;NaN;0 / 0;1922516;2018-04-04 20:59:32:162;;;;;;
-1.64;0.5148;10.0485;0;53.462;NaN;0 / 0;1923016;2018-04-04 20:59:32:662;;;;;;
-1.5203;0.4669;9.6833;0;54.898;NaN;0 / 0;1923516;2018-04-04 20:59:33:162;;;;;;
-1.4413;0.4513;9.5565;0;54.964;NaN;0 / 0;1924016;2018-04-04 20:59:33:662;;;;;;
-1.5502;0.577;9.8725;0;53.255;NaN;0 / 0;1924516;2018-04-04 20:59:34:162;;;;;;
-1.5838;0.5662;9.9288;0;54.132;NaN;0 / 0;1925015;2018-04-04 20:59:34:661;;;;;;
-1.5323;0.4489;9.7659;0;54.544;NaN;0 / 0;1925516;2018-04-04 20:59:35:162;;;;;;
-1.4856;0.3292;9.7288;0;53.834;NaN;0 / 0;1926016;2018-04-04 20:59:35:662;;;;;;
-1.4832;0.4836;9.7947;0;52.655;NaN;0 / 0;1926516;2018-04-04 20:59:36:162;;;;;;
-1.506;0.5902;9.8653;0;53.393;NaN;0 / 0;1927016;2018-04-04 20:59:36:662;;;;;;
-1.5538;0.6668;9.9323;0;52.749;NaN;0 / 0;1927515;2018-04-04 20:59:37:161;;;;;;
-1.5167;0.6692;9.894;0;54.21;NaN;0 / 0;1928016;2018-04-04 20:59:37:662;;;;;;
-1.391;0.4393;9.5325;0;53.577;NaN;0 / 0;1928516;2018-04-04 20:59:38:162;;;;;;
-1.4545;0.2394;9.7181;0;49.96;NaN;0 / 0;1929016;2018-04-04 20:59:38:662;;;;;;
-1.5251;0.334;9.9623;0;49.728;NaN;0 / 0;1929516;2018-04-04 20:59:39:162;;;;;;
-1.4593;0.5459;9.839;0;50.92;NaN;0 / 0;1930016;2018-04-04 20:59:39:662;;;;;;
-1.5036;0.826;9.8893;0;49.337;NaN;0 / 0;1930516;2018-04-04 20:59:40:162;;;;;;
-1.4425;0.7697;9.8078;0;50.078;NaN;0 / 0;1931016;2018-04-04 20:59:40:662;;;;;;
-1.312;0.4812;9.4619;0;49.51;NaN;0 / 0;1931516;2018-04-04 20:59:41:162;;;;;;
-1.4222;0.3029;9.7157;0;49.567;NaN;0 / 0;1932016;2018-04-04 20:59:41:662;;;;;;
-1.5706;0.4357;10.1933;0;52.408;NaN;0 / 0;1932516;2018-04-04 20:59:42:162;;;;;;
-1.3815;0.492;9.7516;0;51.155;NaN;0 / 0;1933016;2018-04-04 20:59:42:662;;;;;;
-1.4018;0.5914;9.7001;0;50.551;NaN;0 / 0;1933516;2018-04-04 20:59:43:162;;;;;;
-1.4054;0.7135;9.7252;0;50.126;NaN;0 / 0;1934016;2018-04-04 20:59:43:662;;;;;;
-1.4712;0.5243;9.9228;0;49.179;NaN;0 / 0;1934516;2018-04-04 20:59:44:162;;;;;;
-1.3827;0.5136;9.7911;0;50.077;NaN;0 / 0;1935016;2018-04-04 20:59:44:662;;;;;;
-1.336;0.6093;9.6438;0;49.849;NaN;0 / 0;1935516;2018-04-04 20:59:45:162;;;;;;
-1.3743;0.5279;9.7492;0;49.216;NaN;0 / 0;1936016;2018-04-04 20:59:45:662;;;;;;
-1.4928;0.6261;10.07;0;51.111;NaN;0 / 0;1936516;2018-04-04 20:59:46:162;;;;;;
-1.3575;0.8188;9.8306;0;49.184;NaN;0 / 0;1937016;2018-04-04 20:59:46:662;;;;;;
-1.2881;0.8092;9.5134;0;48.324;NaN;0 / 0;1937515;2018-04-04 20:59:47:161;;;;;;
-1.3647;0.6464;9.6307;0;48.133;NaN;0 / 0;1938016;2018-04-04 20:59:47:662;;;;;;
-1.3874;0.4908;9.7911;0;48.119;NaN;0 / 0;1938516;2018-04-04 20:59:48:162;;;;;;
-1.4461;0.4681;9.9838;0;48.209;NaN;0 / 0;1939016;2018-04-04 20:59:48:662;;;;;;
-1.4389;0.6105;9.9754;0;48.391;NaN;0 / 0;1939516;2018-04-04 20:59:49:162;;;;;;
-1.3348;0.9074;9.7719;0;48.314;NaN;0 / 0;1940015;2018-04-04 20:59:49:661;;;;;;
-1.3144;0.8487;9.6474;0;47.682;NaN;0 / 0;1940516;2018-04-04 20:59:50:162;;;;;;
-1.3611;0.6416;9.7097;0;47.819;NaN;0 / 0;1941016;2018-04-04 20:59:50:662;;;;;;
-1.4198;0.5435;9.8509;0;46.575;NaN;0 / 0;1941516;2018-04-04 20:59:51:162;;;;;;
-1.4485;0.5124;9.9539;0;46.932;NaN;0 / 0;1942016;2018-04-04 20:59:51:662;;;;;;
-1.4174;0.7099;9.9814;0;46.555;NaN;0 / 0;1942516;2018-04-04 20:59:52:162;;;;;;
-1.3336;0.7135;9.6738;0;46.653;NaN;0 / 0;1943016;2018-04-04 20:59:52:662;;;;;;
-1.2989;0.6656;9.4918;0;47.14;NaN;0 / 0;1943516;2018-04-04 20:59:53:162;;;;;;
-1.3731;0.7386;9.7384;0;48.292;NaN;0 / 0;1944016;2018-04-04 20:59:53:662;;;;;;
-1.4868;0.7302;10.1394;0;46.972;NaN;0 / 0;1944516;2018-04-04 20:59:54:162;;;;;;
-1.3443;0.5124;9.6594;0;48.412;NaN;0 / 0;1945016;2018-04-04 20:59:54:662;;;;;;
-1.3072;0.4764;9.5193;0;47.76;NaN;0 / 0;1945516;2018-04-04 20:59:55:162;;;;;;
-1.409;0.6345;9.8809;0;47.04;NaN;0 / 0;1946015;2018-04-04 20:59:55:661;;;;;;
